rule_id,code_system,code_value,code_name,rule_class,include_semiconductor_relevant,include_semiconductor_relevant_plus_uncertain,requires_evidence_gate,evidence_gate_id,rationale_short,source_note,version,active_flag
R2001,rbics_l2,1010,Business Services,conditional_services_include,1,1,1,gate_empirical_two_sided_corridor,Broad services; include only with empirical corridor support,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2002,rbics_l2,1510,Hospitality Services,exclude_non_semiconductor,0,0,0,none,Hospitality not semiconductor continuity relevant,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2003,rbics_l2,1515,Media and Publishing Services,exclude_non_semiconductor,0,0,0,none,Media/publishing not semiconductor continuity relevant,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2004,rbics_l2,2010,Consumer Goods,exclude_non_semiconductor,0,0,0,none,Consumer goods not semiconductor value-chain core,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2005,rbics_l2,2015,Miscellaneous Retail,exclude_non_semiconductor,0,0,0,none,Retail not semiconductor continuity relevant,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2006,rbics_l2,2020,Consumer Vehicles and Parts,conditional_services_include,1,1,1,gate_empirical_two_sided_corridor,May embed semis into platforms; require empirical support,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2007,rbics_l2,2025,Consumer Retail,exclude_non_semiconductor,0,0,0,none,Retail not semiconductor continuity relevant,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2008,rbics_l2,2510,Upstream Energy,conditional_services_include,1,1,1,gate_empirical_two_sided_corridor,Potential enabling input; require empirical support,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2009,rbics_l2,2515,Downstream and Midstream Energy,conditional_services_include,1,1,1,gate_empirical_two_sided_corridor,Potential enabling input; require empirical support,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2010,rbics_l2,2520,Integrated Oil and Gas Exploration and Production,conditional_services_include,1,1,1,gate_empirical_two_sided_corridor,Potential enabling input; require empirical support,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2011,rbics_l2,3010,Banking,exclude_non_semiconductor,0,0,0,none,Financial intermediation not semiconductor production continuity,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2012,rbics_l2,3015,Insurance,exclude_non_semiconductor,0,0,0,none,Financial intermediation not semiconductor production continuity,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2013,rbics_l2,3020,Investment Services,exclude_non_semiconductor,0,0,0,none,Financial intermediation not semiconductor production continuity,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2014,rbics_l2,3025,Real Estate,exclude_non_semiconductor,0,0,0,none,Real estate not semiconductor continuity core,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2015,rbics_l2,3030,Specialty Finance and Services,exclude_non_semiconductor,0,0,0,none,Financial intermediation not semiconductor production continuity,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2016,rbics_l2,3510,Biopharmaceuticals,exclude_non_semiconductor,0,0,0,none,Biopharma not semiconductor value-chain core,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2017,rbics_l2,3515,Healthcare Services,exclude_non_semiconductor,0,0,0,none,Healthcare services not semiconductor continuity core,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2018,rbics_l2,3520,Healthcare Equipment,conditional_services_include,1,1,1,gate_empirical_two_sided_corridor,Electronics manufacturing overlap possible; require empirical support,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2019,rbics_l2,4010,Industrial Manufacturing,adjacent_manufacturing_include,1,1,0,none,Industrial manufacturing frequently embeds semis and components,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2020,rbics_l2,4015,Industrial Services,conditional_services_include,1,1,1,gate_empirical_two_sided_corridor,May include MRO/tooling/engineering; require empirical support,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2021,rbics_l2,4510,"Chemical, Plastic and Rubber Materials",adjacent_manufacturing_include,1,1,0,none,Potential materials/process inputs to electronics manufacturing,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2022,rbics_l2,4515,Mining and Mineral Products,adjacent_manufacturing_include,1,1,0,none,Potential mineral/metals inputs for electronics,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2023,rbics_l2,4520,Manufactured Products,adjacent_manufacturing_include,1,1,0,none,General manufactured-input layer adjacent to semiconductor use,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2024,rbics_l2,5010,Food and Staples Retail,exclude_non_semiconductor,0,0,0,none,Retail not semiconductor continuity relevant,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2025,rbics_l2,5015,Food and Tobacco Production,exclude_non_semiconductor,0,0,0,none,Food/tobacco not semiconductor continuity relevant,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2026,rbics_l2,5020,Household Products,exclude_non_semiconductor,0,0,0,none,Household products not semiconductor continuity relevant,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2027,rbics_l2,5025,Household Services,exclude_non_semiconductor,0,0,0,none,Household services not semiconductor continuity relevant,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2028,rbics_l2,5510,Electronic Components and Manufacturing,core_semiconductor_include,1,1,0,none,Direct electronics component/manufacturing relevance,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2029,rbics_l2,5515,Hardware,adjacent_manufacturing_include,1,1,0,none,Hardware manufacturing/distribution strongly semiconductor-adjacent,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2030,rbics_l2,5520,Software and Consulting,conditional_services_include,1,1,1,gate_empirical_two_sided_corridor,Includes potentially critical EDA/engineering software; require empirical support,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2031,rbics_l2,6010,Telecommunications,conditional_services_include,1,1,1,gate_empirical_two_sided_corridor,Potential communications hardware/services relevance; require empirical support,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2032,rbics_l2,6510,Utilities,conditional_services_include,1,1,1,gate_empirical_two_sided_corridor,Energy/utilities can be enabling inputs; require empirical support,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2033,rbics_l2,9010,Corporate or Other Unallocated Revenue,uncertain_label,0,1,0,none,Unallocated revenue class; uncertain semantic relevance,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2034,rbics_l2,9015,General or Multi-Industry Revenue,uncertain_label,0,1,0,none,Multi-industry/aggregate class; uncertain semantic relevance,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2035,rbics_l2,9510,Governments and Governmental Entities,exclude_non_semiconductor,0,0,0,none,Government entity nodes are not commercial semiconductor suppliers,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2036,rbics_l2,9515,Membership Organizations,exclude_non_semiconductor,0,0,0,none,Membership orgs not semiconductor continuity relevant,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R2037,rbics_l2,9520,Financially Operative Institutions,exclude_non_semiconductor,0,0,0,none,Financial institutions not semiconductor production continuity core,sym_v1.sym_entity_sector_rbics + ref_v2.rbics_structure_l2_curr,codebook_v1,1
R4E001,rbics_l4_latest,15101010,Accommodation Providers,exclude_non_semiconductor,0,0,0,none,Hospitality not semiconductor continuity relevant,rbics_v1.rbics_structure,codebook_v1,1
R4E003,rbics_l4_latest,30201010,Investment Banking and Corporate Finance,exclude_non_semiconductor,0,0,0,none,Financial intermediation not semiconductor production continuity,rbics_v1.rbics_structure,codebook_v1,1
R4E004,rbics_l4_latest,30201025,Securities Sales and Trading Services,exclude_non_semiconductor,0,0,0,none,Financial intermediation not semiconductor production continuity,rbics_v1.rbics_structure,codebook_v1,1
