src_uid,dst_uid
ent:10497,ent:20034
ent:10497,ent:27901
ent:10497,ent:56307
ent:1073,ent:12169
ent:1073,ent:24523
ent:1073,ent:3259
ent:1073,ent:42593
ent:11036,ent:2266
ent:11036,ent:48853
ent:11036,ent:66066
ent:11039,ent:14449
ent:11039,ent:16760
ent:11040,ent:31264
ent:11087,ent:41421
ent:11598,ent:33644
ent:11598,ent:56307
ent:11598,ent:58380
ent:12010,ent:30115
ent:12010,ent:53846
ent:12169,ent:1073
ent:12169,ent:11087
ent:12169,ent:15119
ent:12169,ent:22022
ent:12169,ent:31264
ent:12169,ent:33644
ent:12169,ent:37020
ent:12169,ent:47273
ent:12169,ent:48853
ent:12169,ent:59389
ent:12169,ent:66066
ent:12169,ent:8528
ent:12169,ent:9845
ent:12754,ent:14880
ent:12754,ent:20034
ent:12754,ent:35882
ent:13187,ent:32380
ent:13187,ent:35865
ent:13187,ent:49329
ent:13187,ent:62755
ent:13268,ent:11087
ent:13268,ent:31264
ent:13268,ent:44858
ent:13268,ent:44922
ent:13268,ent:70562
ent:14368,ent:30194
ent:14368,ent:34660
ent:14368,ent:38122
ent:14368,ent:40471
ent:14449,ent:49366
ent:14449,ent:53846
ent:146,ent:13268
ent:146,ent:20034
ent:146,ent:30194
ent:146,ent:31271
ent:146,ent:32478
ent:146,ent:56307
ent:146,ent:69514
ent:14809,ent:20034
ent:14809,ent:27901
ent:14809,ent:33644
ent:14809,ent:43748
ent:14809,ent:56307
ent:14828,ent:31264
ent:14828,ent:38502
ent:14828,ent:43748
ent:14828,ent:53846
ent:14828,ent:9845
ent:14880,ent:24756
ent:14880,ent:31264
ent:14880,ent:40472
ent:14880,ent:53846
ent:14880,ent:66066
ent:14880,ent:9845
ent:15119,ent:14449
ent:15119,ent:24523
ent:15119,ent:70562
ent:15119,ent:7709
ent:15578,ent:31271
ent:16244,ent:27901
ent:16244,ent:56307
ent:16632,ent:1073
ent:16632,ent:30204
ent:16632,ent:31264
ent:16632,ent:40207
ent:16632,ent:48853
ent:16632,ent:9845
ent:16760,ent:2266
ent:17085,ent:16632
ent:17085,ent:17788
ent:17085,ent:20034
ent:17085,ent:40472
ent:17664,ent:14368
ent:17664,ent:23447
ent:17664,ent:30204
ent:17664,ent:31264
ent:17664,ent:32478
ent:17664,ent:35882
ent:17664,ent:47
ent:17664,ent:48317
ent:17664,ent:53846
ent:17664,ent:66066
ent:17664,ent:69514
ent:17664,ent:9845
ent:17788,ent:40472
ent:17788,ent:53846
ent:17788,ent:9845
ent:18206,ent:28975
ent:20034,ent:14449
ent:20034,ent:26150
ent:20034,ent:30243
ent:20034,ent:31264
ent:20034,ent:32478
ent:20034,ent:42593
ent:20034,ent:48853
ent:20034,ent:62903
ent:20034,ent:66066
ent:20034,ent:9845
