src_id,dst_id,is_highlight
u1,s1,1
u1,s3,0
u2,s2,1
u2,s3,0
u3,s1,0
u3,s6,0
u4,s3,0
u4,s5,0
u5,s2,0
u6,s5,0
u7,s1,0
u8,s5,0
u8,s2,0
u9,s1,0
u9,s3,0
u10,s4,0
u11,s3,0
u11,s1,0
u12,s6,0
u13,s2,0
u13,s1,0
u14,s5,0
u15,s2,0
u15,s6,0
u16,s4,0
u16,s5,0
s1,c2,0
s1,c5,0
s1,c1,1
s1,c4,0
s1,c12,0
s2,c11,0
s2,c2,0
s2,c6,0
s2,c12,0
s3,c6,0
s3,c13,0
s3,c8,0
s3,c10,0
s3,c7,0
s4,c12,0
s4,c6,0
s4,c3,0
s5,c12,0
s5,c4,0
s5,c14,0
s5,c13,0
s6,c2,0
s6,c14,0
s6,c4,0
c1,p7,0
c1,p3,0
c1,p6,0
c2,p1,0
c2,p7,0
c2,p5,0
c3,p4,0
c3,p7,0
c4,p2,0
c4,p5,0
c4,p6,0
c5,p5,0
c5,p1,0
c6,p3,0
c6,p5,0
c6,p2,0
c7,p1,0
c7,p2,0
c7,p6,0
c8,p6,0
c8,p7,0
c9,p5,0
c9,p1,0
c9,p7,0
c10,p4,0
c10,p7,0
c11,p2,0
c11,p1,0
c12,p3,0
c12,p5,0
c12,p2,0
c13,p6,0
c13,p2,0
c14,p3,0
c14,p1,0
c14,p6,0
p1,dod_anchor,1
p2,dod_anchor,0
p3,dod_anchor,1
p4,dod_anchor,0
p5,dod_anchor,0
p6,dod_anchor,0
p7,dod_anchor,0
c1,p1,1
s2,c3,1
c3,p3,1
